"Wlogit version Aug 12 1995 EJN"
"Experiment name: test"
"Filename: C:\C\WLOGIT\TEST1.WK1"

"R=0.9919   slope=1.4525  intercept=-33.3891"
"Blank=1.0000    Bmax=35166863131763.4414    X(1/2 Bmax)=9616209848.4616"

"No     "|"X          "|"Y          "|"Xres      "|
"@      "|0.000        |1.000        |0.000       |
"    A  "|99.000       |99.000       |106.667     |
"    B  "|88.000       |88.000       |98.273      |
"    C  "|66.000       |44.000       |60.497      |
"    D  "|44.000       |22.000       |36.936      |
"    E  "|22.000       |11.000       |22.163      |
"    F  "|11.000       |5.000        |11.794      |

"No   "|"Dil        "|"Y          "|"Xres       "|
1      |55.0         |55.000       |3892.246     |"a1                  "
2      |44.0         |44.000       |2661.859     |"a2                  "
3      |33.0         |33.000       |1628.942     |"a3                  "
4      |1.0          |0.000        |" <  >      "|"a4                  "
5      |44.0         |44.000       |2661.859     |"a5                  "
6      |4.0          |4.000        |38.700       |"a6                  "
7      |44.0         |44.000       |2661.859     |"tweena              "
8      |1.0          |-1.000       |" <  >      "|"enalaaste           "
9      |55.0         |55.000       |3892.246     |"laatste             "
10     |1.0          |5.000        |11.794       |"Sample 10           "
11     |1.0          |6.000        |13.752       |"Sample 11           "
12     |1.0          |7.000        |15.592       |"Sample 12           "
13     |1.0          |6.000        |13.752       |"Sample 13           "
14     |1.0          |5.000        |11.794       |"Sample 14           "
15     |1.0          |5.000        |11.794       |"Sample 15           "
