"Wlogit version Jul 23 1995 EJN"
"Experiment name: test"
"Filename: C:\C\WLOGIT\TEST2.WK1"

"R=0.9039   slope=2.3287  intercept=-6.3618"
"Blank=5.5000    Bmax=99.5034    X(1/2 Bmax)=15.3619"

"No     "|"X          "|"Y          "|"Xres      "|
"@      "|0.000        |5.500        |0.000       |
"    A  "|99.000       |99.000       |144.797     |
"    B  "|55.000       |88.000       |35.799      |
"    C  "|25.000       |55.000       |16.080      |
"    D  "|12.000       |77.000       |25.237      |
"    E  "|6.000        |11.000       |4.659       |
"del F  "|3.000        |5.000        |" <  >"     |
"del G  "|2.000        |3.000        |" <  >"     |
"del H  "|1.000        |2.000        |" <  >"     |

"No   "|"Dil        "|"Y          "|"Xres       "|
1      |1.0          |0.000        |" <  >      "|"                    "
2      |2.0          |6.000        |3.250        |"                    "
3      |3.0          |2.000        |" <  >      "|"                    "
4      |4.0          |33.000       |42.055       |"                    "
5      |5.0          |44.000       |65.645       |"                    "
6      |6.0          |55.000       |96.481       |"                    "
7      |7.0          |12.000       |35.211       |"                    "
8      |8.0          |8.000        |26.190       |"                    "
9      |9.0          |9.000        |34.205       |"                    "
