"Wlogit version Aug 16 1995 EJN"
"Experiment name: test"
"Filename: C:\C\WLOGIT\CARLA4.PRN"

"R=0.9994   slope=1.4300  intercept=-4.3616"
"Blank=0.1933    Bmax=2.3640    X(1/2 Bmax)=21.1151"

"No     "|"X          "|"Y          "|"Xres      "|
"@      "|0.000        |0.193        |0.000       |
"del A  "|0.060        |0.232        |1.279       |
"del B  "|0.120        |0.206        |0.581       |
"del C  "|0.240        |0.199        |0.330       |
"del D  "|0.480        |0.194        |0.074       |
"    E  "|0.970        |0.220        |0.982       |
"    F  "|1.950        |0.266        |2.011       |
"    G  "|3.900        |0.355        |3.625       |
"    H  "|7.810        |0.608        |7.696       |
"    I  "|15.600       |1.094        |16.605      |
"    J  "|31.200       |1.561        |30.643      |
"del K  "|62.500       |1.371        |23.791      |
"del L  "|125.000      |1.356        |23.332      |

"No   "|"Dil        "|"Y          "|"Xres       "|
1      |100.0        |0.291        |249.321      |"m01                 "
2      |500.0        |0.206        |290.540      |"m01                 "
3      |2500.0       |0.188        |" <  >      "|"m01                 "
4      |100.0        |1.434        |2583.081     |"m02                 "
5      |500.0        |0.552        |3401.346     |"m02                 "
6      |2500.0       |0.228        |2958.332     |"m02                 "
7      |100.0        |1.792        |4332.595     |"m03                 "
8      |500.0        |1.105        |8424.467     |"m03                 "
9      |2500.0       |0.320        |7549.835     |"m03                 "
10     |100.0        |1.722        |3873.351     |"m04                 "
11     |500.0        |0.913        |6465.722     |"m04                 "
12     |2500.0       |0.267        |5076.433     |"m04                 "
13     |100.0        |1.816        |4511.197     |"m05                 "
14     |500.0        |0.857        |5949.971     |"m05                 "
15     |2500.0       |0.300        |6649.524     |"m05                 "
16     |100.0        |1.667        |3564.467     |"m06                 "
17     |500.0        |0.821        |5628.698     |"m06                 "
18     |2500.0       |0.260        |4723.068     |"m06                 "
19     |100.0        |1.736        |3958.693     |"m07                 "
20     |500.0        |0.782        |5288.658     |"m07                 "
21     |2500.0       |0.261        |4774.086     |"m07                 "
22     |100.0        |1.712        |3814.165     |"m08                 "
23     |500.0        |0.761        |5108.680     |"m08                 "
24     |2500.0       |0.265        |4976.340     |"m08                 "
25     |100.0        |1.820        |4542.182     |"m09                 "
26     |500.0        |0.848        |5868.943     |"m09                 "
27     |2500.0       |0.300        |6649.524     |"m09                 "
28     |100.0        |1.840        |4702.753     |"m10                 "
29     |500.0        |0.767        |5159.893     |"m10                 "
30     |2500.0       |0.292        |6279.705     |"m10                 "
31     |100.0        |1.859        |4864.672     |"m11                 "
32     |500.0        |0.903        |6372.086     |"m11                 "
33     |2500.0       |0.308        |7013.475     |"m11                 "
34     |100.0        |1.958        |5900.126     |"m12                 "
35     |500.0        |0.831        |5717.193     |"m12                 "
36     |2500.0       |0.306        |6922.998     |"m12                 "
37     |100.0        |1.580        |3146.235     |"m13                 "
38     |500.0        |0.517        |3123.616     |"m13                 "
39     |2500.0       |0.195        |350.506      |"m13                 "
40     |100.0        |1.219        |1955.150     |"m14                 "
41     |500.0        |0.298        |1311.530     |"m14                 "
42     |2500.0       |0.169        |" <  >      "|"m14                 "
43     |100.0        |1.540        |2977.068     |"m15                 "
44     |500.0        |0.361        |1863.299     |"m15                 "
45     |2500.0       |0.166        |" <  >      "|"m15                 "
46     |100.0        |1.415        |2519.469     |"m16                 "
47     |500.0        |0.334        |1632.646     |"m16                 "
48     |2500.0       |0.174        |" <  >      "|"m16                 "
49     |100.0        |1.409        |2499.768     |"m17                 "
50     |500.0        |0.357        |1829.547     |"m17                 "
51     |2500.0       |0.196        |487.049      |"m17                 "
52     |100.0        |1.302        |2176.036     |"m18                 "
53     |500.0        |0.346        |1736.018     |"m18                 "
54     |2500.0       |0.194        |184.624      |"m18                 "
55     |100.0        |1.292        |2148.167     |"m19                 "
56     |500.0        |0.336        |1649.981     |"m19                 "
57     |2500.0       |0.182        |" <  >      "|"m19                 "
58     |100.0        |0.939        |1342.507     |"m20                 "
59     |500.0        |0.290        |1237.249     |"m20                 "
60     |2500.0       |0.180        |" <  >      "|"m20                 "
61     |100.0        |0.652        |840.638      |"m21                 "
62     |500.0        |0.244        |775.548      |"m21                 "
63     |2500.0       |0.186        |" <  >      "|"m21                 "
64     |100.0        |0.592        |743.996      |"m22                 "
65     |500.0        |0.238        |708.717      |"m22                 "
66     |2500.0       |0.179        |" <  >      "|"m22                 "
67     |100.0        |0.830        |1141.664     |"m23                 "
68     |500.0        |0.282        |1161.592     |"m23                 "
69     |2500.0       |0.172        |" <  >      "|"m23                 "
70     |100.0        |1.038        |1540.437     |"m24                 "
71     |500.0        |0.300        |1329.905     |"m24                 "
72     |2500.0       |0.184        |" <  >      "|"m24                 "
